S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb),Risk_Level
114,Arunachal Pradesh,Changlang,Jairampur,96.0144,27.3561,2023,7.29,265,0,165,23,0.08,21,0,-,160,32,19,11,4,1.01,0.09,0.06,0
115,Arunachal Pradesh,Changlang,Namchik,95.972,27.4146,2023,7.29,279,0,165,40,0.07,17,0,-,155,30,19,12,4,0.17,1.07,0.05,0
116,Arunachal Pradesh,Changlang,Namphai,96.1086,27.4461,2023,7.26,261,0,177,10,0.06,18,0,-,150,36,15,12,4,0.09,0.01,0.01,0
117,Arunachal Pradesh,Changlang,Newlisan Kharsang,96.0418,27.4269,2023,7.24,260,0,159,23,0.06,18,0,-,150,38,13,12,4,0.95,0.45,0.03,0
118,Arunachal Pradesh,East Siang,Pasighat New,95.3358,28.0362,2023,7.99,466,0,232,27,0.07,31,2,-,230,58,21,13,40,0.01,0,0.03,0
119,Arunachal Pradesh,East Siang,Oyan,95.3183,27.8902,2023,7.9,469,0,238,36,0.06,38,3,-,225,58,19,13,40,0.66,1.62,0.07,0
120,Arunachal Pradesh,East Siang,Ruksin,95.2182,27.8378,2023,7.83,465,0,214,36,0.05,22,2,-,220,54,21,13,40,0.01,0.1,0,0
121,Arunachal Pradesh,Lohit,Lathow,95.9098,27.7395,2023,7.29,271,0,165,23,0.05,18,0,-,165,40,16,12,4,0.87,0.29,0.08,0
122,Arunachal Pradesh,Papumpare,Banderedewa I,93.8258,27.1053,2023,7.78,204,0,147,17,0.03,6,5,-,130,44,5,10,3,0.31,0.01,0,0
123,Arunachal Pradesh,Tirap,Deomali,95.4628,27.1966,2023,7.74,216,0,140,17,0.03,6,7,-,155,38,15,11,3,3.36,0.06,0.01,0
124,Arunachal Pradesh,Tirap,Borduria,95.4131,27.1152,2023,7.68,212,0,147,17,0.03,8,8,-,95,34,2,15,4,3.22,0,0.07,1
125,Arunachal Pradesh,Tirap,Hukanjuri,95.4377,27.1258,2023,7.73,212,0,147,10,0.03,6,7,-,125,30,12,11,3,0.01,0.06,0.06,0
